floor_id,n_customer,vote_hot_rate,vote_cold_rate,voc_all_rate,VOC_toilet_rate,VOC_lamp_rate,VOC_electric_rate,VOC_door_rate,VOC_dirty_rate,VOC_noise_rate
TG_0000004,1,,,,,,,,,
TG_0000005,9,,,,,,,,,
TG_0000006,1,,,,,,,,,
TG_0000008,4,,,,,,,,,
TG_0000010,14,14.3%,0.0%,28.6%,,,,7.1%,,
TG_0000011,19,31.6%,10.5%,47.4%,,10.5%,,,,
TG_0000013,8,12.5%,0.0%,12.5%,,,,,,
TG_0000014,3,33.3%,0.0%,33.3%,,,,,,
TG_0000032,10,,,,,,,,,
TG_0000033,3,,,,,,,,,
TG_0000034,1,,,,,,,,,
TG_0000035,20,,,,,,,,,
TG_0000036,11,,,,,,,,,
TG_0000038,35,48.6%,0.0%,31.4%,,,,,2.9%,
TG_0000039,35,34.3%,0.0%,20.0%,,,,,,
TG_0000041,3,,,,,,,,,
TG_0000042,22,,,,,,,,,
TG_0000043,49,,,2.0%,,2.0%,,,,
TG_0000044,41,14.6%,0.0%,7.3%,,,,,,
TG_0000045,63,9.5%,0.0%,14.3%,,4.8%,3.2%,,1.6%,
TG_0000046,33,18.2%,0.0%,21.2%,,3.0%,,,,
TG_0000047,45,2.2%,0.0%,4.4%,,2.2%,,,,
TG_0000048,34,,,2.9%,,2.9%,,,,
TG_0000049,34,35.3%,14.7%,61.8%,,11.8%,,,,
TG_0000050,42,,,7.1%,,7.1%,,,,
TG_0000051,32,,,,,,,,,
TG_0000085,2,,,,,,,,,
TG_0000090,25,4.0%,0.0%,8.0%,,,,,,
TG_0000091,12,,,8.3%,,,,,,
TG_0000093,6,,,16.7%,,,16.7%,,,
TG_0000096,15,13.3%,0.0%,13.3%,,,,,,
TG_0000097,2,,,100.0%,,50.0%,,,,
TG_0000098,8,50.0%,12.5%,100.0%,,12.5%,12.5%,,,
TG_0000099,15,20.0%,0.0%,20.0%,,,,,,
TG_0000100,11,63.6%,9.1%,54.5%,,,,,,
TG_0000101,3,,,,,,,,,
TG_0000102,7,,,,,,,,,
TG_0000104,8,,,,,,,,,
TG_0000105,3,,,,,,,,,
TG_0000106,28,0.0%,3.6%,3.6%,,3.6%,,,,
TG_0000107,20,,,5.0%,,,,,5.0%,
TG_0000108,57,80.7%,19.3%,33.3%,,,,,,
TG_0000109,26,65.4%,0.0%,42.3%,,3.8%,,,3.8%,
TG_0000131,1,,,,,,,,,
TG_0000132,4,,,,,,,,,
TG_0000133,1,,,,,,,,,
TG_0000134,15,,,,,,,,,
TG_0000139,43,116.3%,7.0%,58.1%,,,,2.3%,,
TG_0000141,69,65.2%,7.2%,37.7%,,,,,4.3%,
TG_0000166,9,,,,,,,,,
TG_0000167,3,,,,,,,,,
TG_0000168,6,,,,,,,,,
TG_0000169,5,,,20.0%,,,,,,
TG_0000171,29,27.6%,113.8%,134.5%,,,,,,
TG_0000172,5,40.0%,0.0%,80.0%,,,,,20.0%,
TG_0000173,24,50.0%,25.0%,54.2%,,,,,,
TG_0000174,12,183.3%,16.7%,225.0%,,8.3%,8.3%,8.3%,,16.7%
TG_0000175,10,30.0%,0.0%,30.0%,,,,,,
TG_0000176,12,41.7%,0.0%,50.0%,,,,,,
TG_0000192,4,,,,,,,,,
TG_0000193,1,,,,,,,,,
TG_0000197,2,,,,,,,,,
TG_0000198,5,20.0%,0.0%,20.0%,,,,,,
TG_0000200,13,0.0%,23.1%,38.5%,,,,,,
TG_0000201,27,25.9%,11.1%,29.6%,,3.7%,,,,3.7%
TG_0000214,17,,,,,,,,,
TG_0000215,5,,,,,,,,,
TG_0000216,13,7.7%,0.0%,7.7%,,,,,,
TG_0000217,9,44.4%,0.0%,33.3%,,,,,,
TG_0000218,3,,,,,,,,,
TG_0000219,5,20.0%,20.0%,80.0%,,,,20.0%,20.0%,
TG_0000220,2,,,,,,,,,
TG_0000221,7,,,,,,,,,
TG_0000222,2,,,50.0%,,,,50.0%,,
TG_0000223,1,,,,,,,,,
TG_0000224,1,,,,,,,,,
TG_0000225,4,,,,,,,,,
TG_0000226,1,,,,,,,,,
TG_0000227,1,,,,,,,,,
TG_0000238,1,,,,,,,,,
TG_0000239,13,46.2%,0.0%,23.1%,,,,,,
TG_0000240,8,,,,,,,,,
TG_0000241,3,33.3%,33.3%,66.7%,,,,,,
TG_0000244,2,,,,,,,,,
TG_0000245,1,,,,,,,,,
TG_0000251,3,,,,,,,,,
TG_0000252,2,,,,,,,,,
TG_0000255,6,,,,,,,,,
TG_0000256,2,,,,,,,,,
TG_0000259,16,6.3%,0.0%,12.5%,,,,6.3%,,
TG_0000260,14,14.3%,0.0%,14.3%,,,,,,
TG_0000261,1,,,100.0%,,,100.0%,,,
TG_0000262,16,,,6.3%,,,6.3%,,,
TG_0000263,5,20.0%,0.0%,20.0%,,,,,,
TG_0000265,8,0.0%,12.5%,62.5%,,,37.5%,,12.5%,
TG_0000267,2,50.0%,0.0%,150.0%,,,,,100.0%,
TG_0000268,4,50.0%,0.0%,75.0%,,,25.0%,,,
TG_0000269,8,12.5%,0.0%,12.5%,,,,,,
TG_0000270,10,40.0%,10.0%,50.0%,,,,,,
TG_0000272,13,,,7.7%,,,7.7%,,,
TG_0000274,4,0.0%,50.0%,50.0%,,,,,,
TG_0000276,4,,,50.0%,,25.0%,,,,
TG_0000277,9,,,,,,,,,
TG_0000278,2,50.0%,0.0%,50.0%,,,,,,
TG_0000279,1,,,,,,,,,
TG_0000290,10,,,70.0%,,20.0%,,10.0%,10.0%,
TG_0000291,47,6.4%,0.0%,4.3%,,,,,,2.1%
TG_0000292,16,6.3%,0.0%,6.3%,,,,,,
TG_0000293,1,,,,,,,,,
TG_0000294,17,,,17.6%,,,,,,
TG_0000295,13,,,15.4%,,,,,,15.4%
TG_0000296,5,,,,,,,,,
TG_0000297,18,5.6%,33.3%,38.9%,,,5.6%,,,
TG_0000298,21,9.5%,4.8%,19.0%,,4.8%,,,,
TG_0000299,26,61.5%,19.2%,73.1%,,7.7%,,,3.8%,
TG_0000301,4,25.0%,0.0%,25.0%,,,,,,
TG_0000331,13,,,15.4%,,,,,,
TG_0000335,3,,,,,,,,,
TG_0000336,1,,,,,,,,,
TG_0000338,6,,,,,,,,,
TG_0000339,15,13.3%,0.0%,6.7%,,,,,,
TG_0000340,12,0.0%,16.7%,8.3%,,,,,,
TG_0000341,14,0.0%,14.3%,14.3%,,,,,,
TG_0000343,2,,,,,,,,,
TG_0000356,8,,,,,,,,,
TG_0000358,6,,,,,,,,,
TG_0000359,6,,,,,,,,,
TG_0000360,8,,,,,,,,,
TG_0000361,3,,,,,,,,,
TG_0000368,1,,,,,,,,,
TG_0000369,3,,,,,,,,,
TG_0000370,4,25.0%,0.0%,25.0%,,,,,,
TG_0000371,1,,,,,,,,,
TG_0000384,15,13.3%,0.0%,66.7%,,,13.3%,,20.0%,
TG_0000386,16,,,50.0%,,6.3%,25.0%,,,
TG_0000387,2,,,,,,,,,
TG_0000391,136,30.1%,14.0%,28.7%,,2.9%,1.5%,1.5%,1.5%,
TG_0000396,65,20.0%,52.3%,46.2%,,3.1%,10.8%,,,1.5%
TG_0000397,111,0.9%,0.0%,12.6%,,1.8%,5.4%,2.7%,,
TG_0000405,74,40.5%,35.1%,41.9%,,,4.1%,2.7%,4.1%,
TG_0000409,64,9.4%,0.0%,12.5%,,,3.1%,1.6%,,
TG_0000410,46,26.1%,2.2%,17.4%,,,2.2%,2.2%,,
TG_0000411,8,,,,,,,,,
