reg_dt,spce_id,tag_value
2021-06-01 08:03:00,TG_0001096,25.33
2021-06-01 08:03:00,TG_0001097,25.33
2021-06-01 08:05:43,TG_0001094,24.98
2021-06-01 08:05:43,TG_0001095,24.98
2021-06-01 08:06:55,TG_0001099,25.56
2021-06-01 08:07:21,TG_0001100,26.4
2021-06-01 08:07:21,TG_0001101,26.4
2021-06-01 08:18:00,TG_0001096,25.18
2021-06-01 08:18:00,TG_0001097,25.18
2021-06-01 08:20:43,TG_0001094,24.78
2021-06-01 08:20:43,TG_0001095,24.78
2021-06-01 08:21:56,TG_0001099,25.44
2021-06-01 08:22:21,TG_0001100,26.31
2021-06-01 08:22:21,TG_0001101,26.31
2021-06-01 08:33:00,TG_0001096,25.05
2021-06-01 08:33:00,TG_0001097,25.05
2021-06-01 08:35:43,TG_0001094,24.54
2021-06-01 08:35:43,TG_0001095,24.54
2021-06-01 08:36:56,TG_0001099,25.31
2021-06-01 08:37:22,TG_0001100,26.22
2021-06-01 08:37:22,TG_0001101,26.22
2021-06-01 08:48:00,TG_0001096,24.94
2021-06-01 08:48:00,TG_0001097,24.94
2021-06-01 08:50:42,TG_0001094,24.35
2021-06-01 08:50:42,TG_0001095,24.35
2021-06-01 08:51:57,TG_0001099,25.2
2021-06-01 08:52:23,TG_0001100,26.15
2021-06-01 08:52:23,TG_0001101,26.15
2021-06-01 09:03:00,TG_0001096,24.86
2021-06-01 09:03:00,TG_0001097,24.86
2021-06-01 09:05:44,TG_0001094,24.22
2021-06-01 09:05:44,TG_0001095,24.22
2021-06-01 09:06:58,TG_0001099,25.11
2021-06-01 09:07:24,TG_0001100,26.11
2021-06-01 09:07:24,TG_0001101,26.11
2021-06-01 09:18:00,TG_0001096,24.79
2021-06-01 09:18:00,TG_0001097,24.79
2021-06-01 09:20:43,TG_0001094,24.16
2021-06-01 09:20:43,TG_0001095,24.16
2021-06-01 09:22:00,TG_0001099,25.08
2021-06-01 09:22:26,TG_0001100,26.05
2021-06-01 09:22:26,TG_0001101,26.05
2021-06-01 09:33:01,TG_0001096,24.73
2021-06-01 09:33:01,TG_0001097,24.73
2021-06-01 09:35:43,TG_0001094,24.09
2021-06-01 09:35:43,TG_0001095,24.09
2021-06-01 09:37:24,TG_0001100,26.02
2021-06-01 09:37:24,TG_0001101,26.02
2021-06-01 09:48:00,TG_0001096,24.69
2021-06-01 09:48:00,TG_0001097,24.69
2021-06-01 09:50:43,TG_0001094,24.06
2021-06-01 09:50:43,TG_0001095,24.06
2021-06-01 09:51:59,TG_0001099,25.07
2021-06-01 09:52:23,TG_0001100,26
2021-06-01 09:52:23,TG_0001101,26
2021-06-01 10:03:00,TG_0001096,24.63
2021-06-01 10:03:00,TG_0001097,24.63
2021-06-01 10:05:44,TG_0001094,24.07
2021-06-01 10:05:44,TG_0001095,24.07
2021-06-01 10:06:59,TG_0001099,25.08
2021-06-01 10:07:23,TG_0001100,25.97
2021-06-01 10:07:23,TG_0001101,25.97
2021-06-01 10:18:02,TG_0001096,24.61
2021-06-01 10:18:02,TG_0001097,24.61
2021-06-01 10:20:44,TG_0001094,24.08
2021-06-01 10:20:44,TG_0001095,24.08
2021-06-01 10:21:59,TG_0001099,25.1
2021-06-01 10:22:24,TG_0001100,25.94
2021-06-01 10:22:24,TG_0001101,25.94
2021-06-01 10:35:44,TG_0001094,24.04
2021-06-01 10:35:44,TG_0001095,24.04
2021-06-01 10:37:00,TG_0001099,25.12
2021-06-01 10:37:25,TG_0001100,25.91
2021-06-01 10:37:25,TG_0001101,25.91
2021-06-01 10:48:00,TG_0001096,24.64
2021-06-01 10:48:00,TG_0001097,24.64
2021-06-01 10:50:45,TG_0001094,24.03
2021-06-01 10:50:45,TG_0001095,24.03
2021-06-01 10:52:02,TG_0001099,25.18
2021-06-01 10:52:30,TG_0001100,25.89
